"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.473395291E0,8.363839984E-1,-8.347350121E0,1.043154955E0,8.453754461E0
1.478405512E0,7.930210233E-1,-8.899205208E0,1.612936974E0,9.078893179E0
1.483415894E0,6.358199716E-1,-9.430393219E0,2.151506901E0,9.693583715E0
1.488426132E0,2.385379970E-1,-9.458245277E0,2.856626034E0,9.883097510E0
1.493436591E0,-3.498730063E-1,-9.087488174E0,3.902079105E0,9.896013025E0
1.498446978E0,-1.014423966E0,-8.710987091E0,5.043173790E0,1.011651887E1
1.503457209E0,-1.558249950E0,-8.736259460E0,5.977900028E0,1.069979724E1
1.508467654E0,-2.026452065E0,-8.844070435E0,6.524937153E0,1.117581741E1
1.513478041E0,-2.442977905E0,-9.149097443E0,6.788948059E0,1.165177844E1
1.518488496E0,-2.752852917E0,-9.357217789E0,6.744089127E0,1.185826556E1
1.523498728E0,-3.062661886E0,-9.489179611E0,6.233763218E0,1.175943159E1
1.528509116E0,-3.546655893E0,-9.304516792E0,5.520823956E0,1.138561803E1
1.533519349E0,-4.126318932E0,-8.930412292E0,5.001689911E0,1.103610772E1
1.538529822E0,-4.727458954E0,-8.606790543E0,4.692886829E0,1.088342310E1
1.543540209E0,-5.214985847E0,-8.428523064E0,4.406420231E0,1.084677914E1
1.548550435E0,-5.491324902E0,-8.283966064E0,4.191154003E0,1.078631146E1
1.553560817E0,-5.501486778E0,-8.124364853E0,4.182174206E0,1.066593841E1
1.558571279E0,-5.399192810E0,-7.913737774E0,4.375067234E0,1.053184418E1
1.563581512E0,-5.268857002E0,-7.657180786E0,4.706174850E0,1.041831817E1
1.568591894E0,-5.078176022E0,-7.308197021E0,5.159594059E0,1.028683752E1
1.573602127E0,-4.702695847E0,-6.910608768E0,5.544535160E0,1.003063966E1
1.578612578E0,-3.962835073E0,-6.602046013E0,5.878872871E0,9.687735526E0
