"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.589117300E-1,1.076299995E-1,-4.021329880E-1,-2.637180090E0,2.669834074E0
9.639218080E-1,6.339199841E-2,-3.389039934E-1,-2.604873896E0,2.627592524E0
9.689319600E-1,-1.657200046E-2,-3.190760016E-1,-2.472748041E0,2.493304434E0
9.739421000E-1,-8.852499723E-2,-3.576169908E-1,-2.251384974E0,2.281328755E0
9.789522540E-1,-1.908050030E-1,-3.589490056E-1,-2.035643101E0,2.075835680E0
9.839623930E-1,-2.683280110E-1,-3.439249992E-1,-1.797795057E0,1.849959836E0
9.889725470E-1,-2.832889855E-1,-3.403289914E-1,-1.506288052E0,1.570025530E0
9.939827010E-1,-3.750039935E-1,-3.605679870E-1,-1.142961025E0,1.255785481E0
9.989928550E-1,-4.144670069E-1,-3.148629963E-1,-7.882350087E-1,9.445824661E-1
1.004003000E0,-4.340409935E-1,-2.204799950E-1,-3.984020054E-1,6.290684940E-1
1.009013154E0,-3.780939877E-1,-1.653349996E-1,-4.845099896E-2,4.154975631E-1
1.014023069E0,-3.448230028E-1,-6.822299957E-2,2.280520052E-1,4.190047709E-1
1.019033221E0,-3.326439857E-1,7.118999958E-3,5.294709802E-1,6.253336871E-1
1.024043384E0,-2.616789937E-1,7.611399889E-2,8.147529960E-1,8.591226228E-1
1.029053538E0,-1.961510032E-1,6.136799976E-2,1.040971994E0,1.061067359E0
1.034063706E0,-1.138179973E-1,4.175899923E-2,1.225451946E0,1.231434457E0
1.039073785E0,-5.927300081E-2,-4.534000065E-3,1.365883946E0,1.367176946E0
1.044083956E0,1.460899971E-2,-9.019900113E-2,1.442530036E0,1.445421111E0
1.049094109E0,7.307899743E-2,-1.250129938E-1,1.567301035E0,1.573976278E0
1.054104258E0,1.272699982E-1,-1.007660031E-1,1.733662963E0,1.741246309E0
1.059114412E0,1.745180041E-1,-1.554199960E-2,1.849400043E0,1.857680976E0
1.064124337E0,1.385940015E-1,5.663700029E-2,1.911522031E0,1.917376468E0
1.069134475E0,9.296900034E-2,1.114040017E-1,1.965432048E0,1.970780866E0
1.074144629E0,1.317079961E-1,1.769659966E-1,2.029536009E0,2.041489743E0
1.079154797E0,2.032430023E-1,2.359939963E-1,2.159060955E0,2.181408969E0
1.084164951E0,3.078700006E-1,2.354959995E-1,2.257498980E0,2.290533550E0
1.089175118E0,4.223740101E-1,1.932090074E-1,2.373964071E0,2.418973943E0
1.094185272E0,5.206949711E-1,1.476870030E-1,2.457341909E0,2.516240045E0
1.099195356E0,5.633730292E-1,1.364379972E-1,2.630183935E0,2.693301326E0
1.104205585E0,5.190349817E-1,1.536280066E-1,2.792350054E0,2.844330800E0
1.109215736E0,4.443449974E-1,2.563979924E-1,2.930305958E0,2.974874016E0
1.114225813E0,4.158259928E-1,3.759399951E-1,2.986310005E0,3.038468296E0
1.119235956E0,4.401420057E-1,4.426580071E-1,2.958781004E0,3.023914041E0
1.124246110E0,5.437849760E-1,4.036650062E-1,2.935623884E0,3.012728851E0
1.129256030E0,7.197579741E-1,2.519150078E-1,2.905078888E0,3.003497304E0
1.134266181E0,1.020930052E0,5.074999854E-2,2.860095024E0,3.037271354E0
1.139276340E0,1.404294968E0,-1.646009982E-1,2.776360035E0,3.115656093E0
1.144286494E0,1.715939045E0,-3.024089932E-1,2.640516043E0,3.163577560E0
1.149296662E0,1.969678998E0,-3.158290088E-1,2.613148928E0,3.287541731E0
1.154306816E0,2.027764082E0,-2.403469980E-1,2.581664085E0,3.291592821E0
1.159316984E0,1.904602051E0,-1.558029950E-1,2.520339966E0,3.162893784E0
1.164327138E0,1.563063025E0,-5.129599944E-2,2.504246950E0,2.952465087E0
1.169337288E0,1.078847051E0,6.341700256E-2,2.652584076E0,2.864286116E0
1.174347366E0,5.338659883E-1,1.538199931E-1,2.835515976E0,2.889433220E0
1.179357527E0,2.052200027E-2,2.506980002E-1,3.001178026E0,3.011700547E0
1.184367681E0,-3.682639897E-1,3.122290075E-1,3.183909893E0,3.220308607E0
1.189377835E0,-6.240879893E-1,3.666569889E-1,3.384953976E0,3.461478959E0
1.194387989E0,-8.096629977E-1,4.397589862E-1,3.493660927E0,3.613116218E0
1.199398143E0,-9.578999877E-1,5.246660113E-1,3.610059977E0,3.771654789E0
1.204408297E0,-9.928820133E-1,6.616669893E-1,3.665600061E0,3.854898404E0
1.209418222E0,-8.978899717E-1,7.519189715E-1,3.748640060E0,3.927326170E0
1.214428379E0,-7.411580086E-1,8.311010003E-1,3.663152933E0,3.828672548E0
1.219438532E0,-5.121179819E-1,8.586109877E-1,3.412189007E0,3.555630953E0
1.224448695E0,-2.415309995E-1,8.370839953E-1,3.132328987E0,3.251235415E0
1.229458849E0,-1.087000035E-2,8.378720284E-1,2.839900970E0,2.960943298E0
1.234469004E0,2.084929943E-1,7.922329903E-1,2.436790943E0,2.570807760E0
1.239479158E0,4.512059987E-1,7.234659791E-1,2.011307001E0,2.184569919E0
1.244489251E0,7.108359933E-1,5.924299955E-1,1.711987972E0,1.946063700E0
1.249499403E0,8.930569887E-1,4.786899984E-1,1.434540033E0,1.756302937E0
1.254509328E0,1.009773970E0,3.450019956E-1,1.032701015E0,1.484971796E0
1.259519451E0,1.027863979E0,2.267809957E-1,6.523730159E-1,1.238355576E0
1.264529835E0,9.805669785E-1,1.487089992E-1,2.475290000E-1,1.022201825E0
1.269539750E0,8.850929737E-1,7.757700235E-2,-5.470500141E-2,8.901687484E-1
1.274549902E0,7.436490059E-1,-3.923200071E-2,-2.724550068E-1,7.929594722E-1
1.279560081E0,5.686810017E-1,-1.473370045E-1,-4.154520035E-1,7.195183401E-1
1.284570235E0,4.226320088E-1,-2.515569925E-1,-5.572010279E-1,7.432171424E-1
1.289580389E0,2.656359971E-1,-3.725590110E-1,-6.022819877E-1,7.563770834E-1
1.294590558E0,8.927799761E-2,-4.600079954E-1,-6.247239709E-1,7.809340282E-1
1.299600711E0,-7.895100117E-2,-5.352680087E-1,-6.582700014E-1,8.520941829E-1
1.304610790E0,-2.334100008E-1,-5.681729913E-1,-6.765990257E-1,9.138309571E-1
1.309620947E0,-3.280189931E-1,-5.599359870E-1,-7.123630047E-1,9.636315789E-1
1.314631101E0,-4.128690064E-1,-5.238959789E-1,-7.612779737E-1,1.012162026E0
1.319641035E0,-5.110489726E-1,-4.634970129E-1,-8.440409899E-1,1.090140232E0
1.324651187E0,-5.526769757E-1,-3.662559986E-1,-8.857169747E-1,1.106385943E0
1.329661336E0,-5.774180293E-1,-2.689779997E-1,-8.799549937E-1,1.086315578E0
1.334671490E0,-6.315950155E-1,-2.220119983E-1,-9.342479706E-1,1.149356716E0
1.339681640E0,-6.815950274E-1,-1.203460023E-1,-1.056517005E0,1.263045179E0
1.344691793E0,-7.160940170E-1,-1.017499994E-2,-1.189494014E0,1.388448840E0
1.349701947E0,-7.335420251E-1,6.462199986E-2,-1.391950011E0,1.574733228E0
1.354712115E0,-7.580299973E-1,1.259250045E-1,-1.591531038E0,1.767324993E0
1.359722194E0,-7.292910218E-1,1.830449998E-1,-1.816643953E0,1.966104300E0
1.364732336E0,-6.054069996E-1,2.413689941E-1,-2.106571913E0,2.205089987E0
1.369742490E0,-4.863179922E-1,2.066520005E-1,-2.387438059E0,2.445213840E0
